PLAYLIST_REF, ID, Current, Learned
1, 1023, T, 2004-11-23
1, 1136, T, 2016-11-02
1, 4268, T, 2020-09-14
1, 1851, T, 2015-11-24
1, 223, T, 2017-01-27
1, 1202, T, 2016-12-12
1, 107, T, 2006-11-19
1, 106, T, 2006-11-19
1, 441, T, 2015-11-24
1, 736, T, 2010-11-23
1, 2975, T, 2018-01-16
1, 2630, T, 2016-12-24
1, 932, T, 2016-11-25
1, 152, T, 2016-11-24
1, 1447, T, 2001-11-20
1, 3875, T, 2019-12-04
1, 1860, T, 2015-11-24
1, 1952, T, 2016-12-24
1, 6369, T, 2016-12-24
1, 6001, T, 2013-11-24
1, 3969, T, 2013-11-23
1, 487, T, 2016-05-23
1, 983, T, 2004-11-23
1, 1081, T, 2016-12-24
1, 1135, T, 2014-11-24
1, 1187, T, 2018-09-01
1, 4313, T, 2010-11-24
1, 1567, T, 2002-11-23
1, 974, T, 2015-11-24
1, 105, T, 2016-12-19
1, 6114, T, 2010-11-23
1, 2451, T, 2015-11-24
1, 2448, T, 2016-12-02
1, 947, T, 2018-10-06
1, 1062, T, 2019-12-04
1, 2146, T, 2004-11-23
1, 6583, T, 2015-11-24
1, 1639, T, 2002-11-24
1, 2410, T, 2016-08-24
1, 1820, T, 2017-03-22
1, 6142, T, 2011-11-25
1, 6141, T, 2010-11-25
1, 43, T, 2014-11-19
1, 287, T, 2014-11-23
1, 310, T, 2013-11-23
1, 376, T, 2015-11-24
1, 396, T, 2014-11-23
1, 540, T, 2016-03-23
1, 573, T, 2007-11-23
1, 3266, T, 2016-09-23
1, 761, T, 2004-11-23
1, 5616, T, 2017-01-14
1, 900, T, 2016-12-18
1, 1064, T, 2016-10-23
1, 1197, T, 2007-11-23
1, 1456, T, 2012-11-24
1, 2878, T, 2018-09-09
1, 1480, T, 2008-11-24
1, 1513, T, 2014-11-24
1, 1732, T, 2016-11-23
1, 1782, T, 2002-11-24
1, 1814, T, 2009-11-22
1, 1830, T, 2002-11-24
1, 1855, T, 2002-11-24
1, 208, T, 2016-11-25
1, 474, T, 2018-01-21
1, 1230, T, 2020-10-14
1, 466, T, 2008-11-19
1, 833, T, 2017-03-17
1, 1335, T, 2010-11-24
1, 1409, T, 2015-11-24
1, 2052, T, 2013-11-24
1, 1750, T, 2016-05-24
1, 926, T, 2016-11-24
1, 1384, T, 2016-05-24
1, 1224, T, 2007-11-24
1, 1487, T, 2008-11-24
1, 234, T, 2019-01-27
1, 3923, T, 2018-01-21
1, 72, T, 2002-11-24
1, 1410, T, 2006-11-24
1, 153, T, 2014-11-20
1, 2862, T, 2008-11-20
1, 200, T, 2010-11-20
1, 241, T, 2017-04-12
1, 270, T, 2013-11-23
1, 420, T, 2014-11-23
1, 445, T, 2018-08-23
1, 499, T, 2010-11-23
1, 505, T, 2017-05-28
1, 537, T, 2015-05-23
1, 566, T, 2004-11-23
1, 3220, T, 2015-11-23
1, 641, T, 2016-11-24
1, 674, T, 2011-12-25
1, 690, T, 2015-05-23
1, 2336, T, 2006-11-23
1, 3988, T, 2017-09-19
1, 852, T, 2012-11-23
1, 869, T, 2006-11-23
1, 905, T, 2007-11-24
1, 927, T, 2018-12-30
1, 1071, T, 2009-11-23
1, 1077, T, 2004-11-23
1, 1104, T, 2015-05-15
1, 2806, T, 2002-11-23
1, 1151, T, 2019-10-03
1, 3116, T, 2016-01-23
1, 1168, T, 2017-01-24
1, 1184, T, 2002-11-23
1, 2107, T, 2007-11-24
1, 1233, T, 2018-09-25
1, 1272, T, 2005-11-24
1, 3440, T, 2014-11-24
1, 1311, T, 2015-11-24
1, 1904, T, 2015-05-24
1, 1350, T, 2004-11-24
1, 1440, T, 2015-05-24
1, 1455, T, 2004-11-23
1, 5574, T, 2017-01-08
1, 1619, T, 2008-11-24
1, 1686, T, 2005-11-24
1, 1715, T, 2012-11-24
1, 1716, T, 2006-11-24
1, 1729, T, 2017-08-13
1, 3978, T, 2014-11-24
1, 1770, T, 2002-11-24
1, 1774, T, 2005-11-24
1, 3221, T, 2013-11-23
1, 1778, T, 2014-11-24
1, 1803, T, 2014-11-24
1, 1819, T, 2006-11-24
1, 989, T, 2017-07-15
1, 1849, T, 2016-11-25
1, 2495, T, 2016-05-23
1, 1955, T, 2009-11-24
1, 1969, T, 2016-11-24
1, 2022, T, 2010-11-23
1, 2065, T, 2012-11-24
1, 446, T, 2013-11-24
1, 2077, T, 2008-11-24
1, 2079, T, 2002-11-24
1, 114, T, 2008-11-19
1, 248, T, 2008-11-20
1, 359, T, 2016-11-18
1, 411, T, 2019-06-14
1, 2521, T, 2015-11-23
1, 642, T, 2013-11-23
1, 750, T, 2008-11-23
1, 2844, T, 2011-11-23
1, 3159, T, 2013-11-23
1, 924, T, 2016-11-09
1, 3080, T, 2018-07-31
1, 1391, T, 2009-11-24
1, 1454, T, 2016-11-24
1, 1640, T, 2010-11-23
1, 168, T, 2013-11-20
1, 1697, T, 2001-11-24
1, 1807, T, 2014-04-25
1, 1958, T, 2018-09-09
1, 1960, T, 2018-04-15
1, 89, T, 2008-11-19
1, 391, T, 2004-11-23
1, 436, T, 2006-11-23
1, 545, T, 2004-11-23
1, 549, T, 2009-11-23
1, 560, T, 2004-11-23
1, 622, T, 2008-11-23
1, 745, T, 2012-11-23
1, 776, T, 2004-11-23
1, 1031, T, 2011-11-23
1, 1208, T, 2007-11-24
1, 1240, T, 2015-11-24
1, 3686, T, 2023-01-04
1, 1581, T, 2015-11-24
1, 1588, T, 2011-11-24
1, 1766, T, 2002-11-24
1, 1878, T, 2004-11-24
1, 1888, T, 2013-11-24
1, 1957, T, 2010-11-24
1, 1172, T, 2011-11-23
1, 807, T, 2012-04-24
1, 4164, T, 2017-08-24
1, 125, T, 2006-11-24
1, 5071, T, 2014-11-20
1, 2162, T, 2017-02-03
1, 156, T, 2004-11-24
1, 161, T, 2017-08-24
1, 187, T, 2016-07-20
1, 206, T, 2018-10-15
1, 308, T, 2016-03-23
1, 321, T, 2005-11-23
1, 1263, T, 2013-11-23
1, 364, T, 2014-11-23
1, 382, T, 2008-11-21
1, 394, T, 2012-11-24
1, 406, T, 2007-11-24
1, 2874, T, 2014-11-23
1, 2714, T, 2013-11-23
1, 557, T, 2005-11-23
1, 597, T, 2014-11-23
1, 2670, T, 2014-11-23
1, 617, T, 2002-11-23
1, 2894, T, 2017-01-15
1, 643, T, 2012-11-23
1, 669, T, 2007-11-23
1, 696, T, 2002-11-23
1, 712, T, 2008-11-23
1, 730, T, 2010-11-24
1, 775, T, 2017-01-15
1, 1746, T, 2015-05-23
1, 846, T, 2016-01-23
1, 874, T, 2006-11-23
1, 888, T, 2004-11-23
1, 5496, T, 2014-11-23
1, 415, T, 2014-11-23
1, 1033, T, 2004-11-23
1, 1050, T, 2017-08-30
1, 1054, T, 2006-11-23
1, 558, T, 2002-11-23
1, 1129, T, 2012-11-23
1, 1147, T, 2008-11-23
1, 3013, T, 2016-11-25
1, 1149, T, 2006-11-23
1, 3603, T, 2015-05-23
1, 3066, T, 2007-11-24
1, 1237, T, 2011-11-24
1, 1289, T, 2014-11-24
1, 3012, T, 2012-11-24
1, 1293, T, 2018-04-20
1, 1310, T, 2004-11-24
1, 1318, T, 2015-05-24
1, 1342, T, 2016-03-24
1, 1346, T, 2006-11-24
1, 1352, T, 2015-11-24
1, 1383, T, 2017-08-02
1, 1394, T, 2014-11-24
1, 1492, T, 2009-11-24
1, 6010, T, 2017-09-29
1, 1517, T, 2012-11-24
1, 1565, T, 2011-11-24
1, 1601, T, 2015-05-24
1, 1649, T, 2013-11-24
1, 2245, T, 2008-11-24
1, 1720, T, 2001-11-24
1, 1747, T, 2010-11-24
1, 1758, T, 2015-05-22
1, 1762, T, 2008-11-24
1, 1833, T, 2008-11-24
1, 1868, T, 2006-11-24
1, 1883, T, 2008-11-24
1, 1926, T, 2015-11-24
1, 1961, T, 2005-11-24
1, 1964, T, 2006-11-24
1, 1566, T, 2015-11-24
1, 2082, T, 2006-11-24
1, 1341, T, 2012-11-24
1, 164, T, 2014-11-20
1, 547, T, 2015-09-23
1, 1821, T, 2017-03-12
1, 2092, T, 2016-12-06
1, 787, T, 2012-11-23
1, 713, T, 2012-11-23
1, 1451, T, 2015-11-24
1, 1973, T, 2004-11-20
1, 66, T, 2008-11-24
1, 432, T, 2012-12-31
1, 488, T, 2002-11-24
1, 740, T, 2006-11-23
1, 5594, T, 2014-11-24
1, 806, T, 2016-11-03
1, 1684, T, 2006-11-24
1, 2095, T, 2016-12-28
1, 4520, T, 2002-11-23
1, 2568, T, 2016-11-02
1, 1027, T, 2006-11-24
1, 1271, T, 2013-11-24
1, 1829, T, 2008-11-24
1, 1694, T, 2013-11-24
1, 6830, T, 2015-05-24
1, 141, T, 2008-11-24
1, 5927, T, 2014-11-23
1, 2933, T, 2013-11-24
1, 4836, T, 2015-05-24
1, 1927, T, 2017-06-26
