PLAYLIST_REF, ID, Practiced, Feedback
1, 1025, 2021-08-26 23:30:00, 
1, 1118, 2023-04-13 20:53:12, 
1, 1334, 2022-12-29 19:55:41, 
1, 1343, 2021-08-10 20:47:47, 
1, 2870, 2021-09-03 23:00:00, 
1, 2534, 2023-02-02 21:37:34, 
1, 1699, 2022-12-27 19:42:03, 
1, 269, 2021-09-10 01:50:01, 
1, 5807, 2023-03-25 00:22:27, 
1, 7131, 2023-02-11 21:42:30, 
1, 54, 2022-08-16 21:36:23, 
1, 3872, 2023-02-13 22:17:28, 
1, 129, 2021-07-29 22:57:30, 
1, 2129, 2023-06-08 23:51:39, 
1, 225, 2023-01-29 21:17:08, 
1, 2201, 2021-08-16 23:13:37, 
1, 2352, 2021-08-11 23:58:44, 
1, 387, 2023-04-09 21:10:35, 
1, 4972, 2023-02-06 23:25:39, 
1, 567, 2023-06-02 22:05:32, 
1, 7247, 2023-02-25 22:20:58, 
1, 742, 2021-07-24 22:37:50, 
1, 2463, 2021-08-17 23:37:12, 
1, 4586, 2021-07-19 22:26:30, 
1, 2653, 2021-08-04 23:16:52, 
1, 2798, 2022-05-18 22:44:48, 
1, 858, 2021-08-18 23:41:08, 
1, 1905, 2021-08-24 23:41:58, 
1, 5951, 2023-02-01 23:06:01, 
1, 897, 2021-08-01 20:34:29, 
1, 908, 2023-01-29 20:59:48, 
1, 955, 2021-07-28 21:44:55, 
1, 1004, 2021-08-27 23:22:44, 
1, 1022, 2021-08-08 23:04:39, 
1, 1092, 2023-03-28 22:05:23, 
1, 36, 2021-07-26 22:45:45, 
1, 1167, 2021-08-29 22:49:45, 
1, 170, 2023-03-06 21:45:55, 
1, 1189, 2021-09-11 23:00:00, 
1, 3275, 2022-08-04 21:59:42, 
1, 801, 2023-01-18 23:17:01, 
1, 4256, 2023-02-25 21:55:10, 
1, 1486, 2023-03-15 23:48:42, 
1, 1489, 2021-08-01 20:34:30, 
1, 1714, 2021-08-04 23:16:54, 
1, 322, 2021-08-14 23:47:09, 
1, 2944, 2021-09-04 23:43:29, 
1, 1884, 2021-07-25 18:45:58, 
1, 2090, 2023-06-02 22:16:30, 
1, 1950, 2023-05-04 00:31:09, 
1, 882, 2023-02-24 23:13:39, 
1, 2075, 2021-08-24 23:41:57, 
1, 668, 2021-08-22 23:21:23, 
1, 1659, 2023-01-18 23:01:54, 
1, 803, 2023-03-19 21:47:28, 
1, 3497, 2021-08-09 22:05:10, 
1, 254, 2021-08-19 00:59:35, 
1, 1023, 2021-08-29 22:33:25, 
1, 1136, 2023-04-15 22:53:35, 
1, 4268, 2022-05-18 22:29:32, 
1, 1851, 2023-05-02 23:25:58, 
1, 223, 2023-01-17 20:48:28, 
1, 1202, 2023-03-08 23:27:42, 
1, 107, 2021-08-22 23:21:23, 
1, 106, 2021-08-23 23:37:16, 
1, 441, 2023-03-29 22:11:26, 
1, 736, 2023-06-11 22:43:29, 
1, 2975, 2023-01-19 19:01:19, 
1, 2630, 2023-03-04 22:35:38, 
1, 932, 2023-02-20 22:31:52, 
1, 152, 2023-03-19 22:03:20, 
1, 1447, 2021-08-22 23:21:23, 
1, 3875, 2023-02-14 23:05:31, 
1, 1860, 2023-02-26 23:13:42, 
1, 1952, 2023-03-07 22:36:42, 
1, 6369, 2023-03-07 22:20:51, 
1, 6001, 2023-03-19 22:11:08, 
1, 3969, 2023-01-30 21:44:57, 
1, 487, 2023-02-27 23:15:27, 
1, 983, 2021-08-19 00:59:35, 
1, 1081, 2022-08-06 00:00:00, 
1, 1135, 2023-03-14 21:38:59, 
1, 1187, 2023-01-22 19:06:49, 
1, 4313, 2023-06-11 22:43:30, 
1, 1567, 2021-08-17 23:37:12, 
1, 974, 2023-05-20 21:28:01, 
1, 105, 2023-02-24 22:27:52, 
1, 6114, 2021-07-24 23:00:51, 
1, 2451, 2022-08-06 00:00:00, 
1, 2448, 2023-02-23 23:28:56, 
1, 947, 2023-01-08 18:31:53, 
1, 1062, 2023-01-21 20:36:07, 
1, 2146, 2021-07-28 21:24:30, 
1, 6583, 2023-03-14 21:36:03, 
1, 1639, 2021-08-16 23:13:37, 
1, 2410, 2023-06-04 22:57:59, 
1, 1820, 2022-08-06 20:39:14, 
1, 6142, 2021-08-31 23:00:00, 
1, 6141, 2021-07-29 22:44:05, 
1, 43, 2023-04-15 23:11:43, 
1, 287, 2023-03-26 23:18:09, 
1, 310, 2023-02-27 23:02:30, 
1, 376, 2023-05-05 23:19:48, 
1, 396, 2023-03-28 22:36:36, 
1, 540, 2023-02-08 20:51:19, 
1, 573, 2021-09-03 23:00:00, 
1, 3266, 2023-02-19 22:17:31, 
1, 761, 2021-08-22 23:21:23, 
1, 5616, 2023-02-23 22:50:56, 
1, 900, 2022-07-31 20:56:29, 
1, 1064, 2023-02-11 21:21:40, 
1, 1197, 2021-08-02 22:17:34, 
1, 1456, 2021-07-21 22:17:10, 
1, 2878, 2023-01-14 20:39:11, 
1, 1480, 2021-08-11 23:48:29, 
